strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_AB + Stab_90+,"leaderGrade in [A,B] AND scoutStabilizeScore between [90,100]",10,cooldown,54,62,116,5.52,9.28,7.53,-3.76,2.83,3.23,62.9,5.54,1.43,24.53,-9.63,90.32,83.87,79.03,59.68,-66.62,false,leaderGrade×stab,5.57,유망
Leader_B + Stab_<45,leaderGrade in [B] AND scoutStabilizeScore lt 45,5,cooldown,15,10,25,-3.59,4.75,-0.25,-8.34,0.27,4.91,50,2,-2.07,11.19,-5.74,80,70,70,60,-6.56,false,leaderGrade×stab,2.56,유망
Leader_B + Stab_<45,leaderGrade in [B] AND scoutStabilizeScore lt 45,10,cooldown,13,10,23,-0.62,13.96,5.72,-14.58,0.86,12.19,80,13.23,0.98,21.87,-8.11,100,100,70,60,-9.28,false,leaderGrade×stab,5.57,유망
Leader_B + Stab_45~64,"leaderGrade in [B] AND scoutStabilizeScore between [45,64]",5,cooldown,31,44,75,0.22,4.49,2.72,-4.27,1.09,2.71,63.64,3.77,1.78,11.88,-6.7,81.82,70.45,65.91,54.55,-44.06,false,leaderGrade×stab,2.56,유망
Leader_B + Stab_45~64,"leaderGrade in [B] AND scoutStabilizeScore between [45,64]",10,cooldown,25,36,61,2.68,9.99,6.99,-7.31,2.04,3.31,66.67,3.9,4.83,22.08,-9.7,86.11,80.56,75,66.67,-64.94,false,leaderGrade×stab,5.57,유망
Leader_B + Stab_65~79,"leaderGrade in [B] AND scoutStabilizeScore between [65,79]",5,cooldown,37,70,107,1.33,5.49,4.05,-4.16,1.34,2.93,60,1.87,1.22,12.18,-6.83,80,61.43,67.14,44.29,-54.86,false,leaderGrade×stab,2.56,유망
Leader_B + Stab_65~79,"leaderGrade in [B] AND scoutStabilizeScore between [65,79]",10,cooldown,33,50,83,2.21,8.13,5.78,-5.92,1.49,2.96,62,3.87,1.14,19.84,-8.95,94,82,72,48,-60.63,false,leaderGrade×stab,5.57,유망
Leader_B + Stab_80~89,"leaderGrade in [B] AND scoutStabilizeScore between [80,89]",5,cooldown,38,70,108,2.96,2.38,2.58,0.58,2.46,1.81,48.57,-0.43,-0.85,10.98,-7.97,81.43,65.71,72.86,62.86,-61.67,false,leaderGrade×stab,2.56,역효과
Leader_B + Stab_80~89,"leaderGrade in [B] AND scoutStabilizeScore between [80,89]",10,cooldown,31,52,83,3.5,4.89,4.37,-1.39,1.94,2.08,51.92,0.98,-2.56,16.87,-10.99,94.23,80.77,78.85,65.38,-68,false,leaderGrade×stab,5.57,역효과
Leader_B + Stab_90+,"leaderGrade in [B] AND scoutStabilizeScore between [90,100]",5,cooldown,32,34,66,2.02,1.01,1.5,1.01,1.72,1.21,44.12,-1.72,-2.22,12.29,-8.44,76.47,58.82,64.71,55.88,-55.79,false,leaderGrade×stab,2.56,역효과
Leader_B + Stab_90+,"leaderGrade in [B] AND scoutStabilizeScore between [90,100]",10,cooldown,25,28,53,3.53,-0.37,1.47,3.9,2.78,0.94,53.57,2.93,-5.28,16.81,-11.15,78.57,71.43,67.86,64.29,-59.68,true,leaderGrade×stab,5.57,역효과
Leader_C + Stab_<45,leaderGrade in [C] AND scoutStabilizeScore lt 45,5,cooldown,25,26,51,-0.61,1.78,0.61,-2.39,0.79,1.39,53.85,1.24,0.88,12.2,-10.25,84.62,73.08,69.23,57.69,-69.23,false,leaderGrade×stab,2.56,역효과
Leader_C + Stab_<45,leaderGrade in [C] AND scoutStabilizeScore lt 45,10,cooldown,20,21,41,2.95,8.46,5.77,-5.51,2.18,2.24,52.38,3.37,4.16,22.21,-13.41,90.48,80.95,76.19,66.67,-74,false,leaderGrade×stab,5.57,유망
Leader_C + Stab_45~64,"leaderGrade in [C] AND scoutStabilizeScore between [45,64]",5,cooldown,44,38,82,1.27,-0.9,0.26,2.17,1.56,0.81,44.74,-0.94,-1.67,8.25,-10.56,71.05,57.89,84.21,73.68,-74.37,true,leaderGrade×stab,2.56,역효과
Leader_C + Stab_45~64,"leaderGrade in [C] AND scoutStabilizeScore between [45,64]",10,cooldown,35,33,68,1.59,1.04,1.32,0.55,1.48,1.18,51.52,3.36,-2.32,14.48,-13.35,87.88,81.82,90.91,75.76,-78.99,false,leaderGrade×stab,5.57,역효과
Leader_C + Stab_65~79,"leaderGrade in [C] AND scoutStabilizeScore between [65,79]",5,cooldown,45,36,81,2.36,2.21,2.3,0.15,1.92,1.59,47.22,-0.47,-1.66,10.42,-7.52,80.56,61.11,63.89,47.22,-42.44,false,leaderGrade×stab,2.56,역효과
Leader_C + Stab_65~79,"leaderGrade in [C] AND scoutStabilizeScore between [65,79]",10,cooldown,39,29,68,4.11,5.35,4.64,-1.24,2.48,2,65.52,2.96,-2.09,17.16,-10.48,89.66,86.21,68.97,51.72,-61.11,false,leaderGrade×stab,5.57,역효과
